公寓,区域,房价1,房价2,房价3,平均房价,租金1,租金2,租金3,平均10个月租,年化回报
中天西城纪,拱墅-申花,53,54,56,"￥543,333 ",2600,2600,2600,"￥26,000 ",4.79%
绿城财通中心,钱塘-金沙湖,49,52,55,"￥520,000 ",2400,2450,2472,"￥24,407 ",4.69%
萧山宝龙广场,萧山-萧山新城区,46,48,49,"￥476,667 ",2000,2300,2300,"￥22,000 ",4.62%
EFC,余杭-未来科技城,70,72,78,"￥733,333 ",3200,3200,3200,"￥32,000 ",4.36%
红街天城,上城-杭州东站,50,52,55,"￥523,333 ",2200,2200,2350,"￥22,500 ",4.30%
创客空间,余杭-未来科技城,61,66,67,"￥646,667 ",2700,2700,2750,"￥27,167 ",4.20%
中粮方圆金街,拱墅-三塘,52,55,60,"￥556,667 ",2300,2300,2400,"￥23,333 ",4.19%
蓝钻天成,拱墅-和睦,62,62,63,"￥623,333 ",2450,2500,2600,"￥25,167 ",4.04%
浙港国际,西湖-申花,65,65,68,"￥660,000 ",2300,2700,2900,"￥26,333 ",3.99%
华元十六街区,钱塘-高教园区西,41,42,45,"￥426,667 ",1500,1800,1800,"￥17,000 ",3.98%
北大未名府,余杭-未来科技城,58,60,65,"￥610,000 ",2100,2500,2500,"￥23,667 ",3.88%
钱江之江新天地,西湖-转塘,31,35,35,"￥336,667 ",1290,1300,1300,"￥12,967 ",3.85%
滨江宝龙广场,滨江-彩虹城,70,78,80,"￥760,000 ",2670,3000,3050,"￥29,067 ",3.82%
星耀城,滨江-区政府,95,100,110,"￥1,016,667 ",3700,3700,3750,"￥37,167 ",3.66%
同人精华,西湖-申花,59,60,61,"￥600,000 ",2100,2200,2200,"￥21,667 ",3.61%
嘉润铭座,萧山-奥体,85,86,90,"￥870,000 ",2500,2570,2820,"￥26,300 ",3.02%
西溪八方城,余杭-未来科技城,63,75,78,"￥720,000 ",1750,1850,2077,"￥18,923 ",2.63%
